Source,Target,Type,Label,Weight
ART_1,AUT_Колотыгина,Directed,cites,1
ART_1,AUT_Коллегов,Directed,cites,1
ART_1,AUT_Ли,Directed,cites,1
ART_1,AUT_Козловцева,Directed,cites,1
ART_1,AUT_Алферьева,Directed,cites,1
ART_1,AUT_Щукин,Directed,cites,1
ART_1,AUT_Сидоренко,Directed,cites,1
ART_3,AUT_Турко,Directed,cites,1
ART_3,AUT_Чернышенко,Directed,cites,1
ART_3,AUT_Еремина,Directed,cites,1
ART_3,AUT_Пласкина,Directed,cites,1
ART_3,AUT_Дьякова,Directed,cites,1
ART_3,AUT_Массалова,Directed,cites,1
ART_3,AUT_Яковлева,Directed,cites,1
ART_3,AUT_Виноградова,Directed,cites,1
ART_3,AUT_Мушенко,Directed,cites,1
ART_3,AUT_Холодкова,Directed,cites,1
ART_3,AUT_Жеребцова,Directed,cites,1
ART_3,AUT_Дзюба,Directed,cites,1
ART_3,AUT_Филиппов,Directed,cites,1
ART_3,AUT_Конышева,Directed,cites,1
ART_4,AUT_Тоцкая,Directed,cites,1
ART_4,AUT_Кравцова,Directed,cites,1
ART_4,AUT_Цзян,Directed,cites,1
ART_4,AUT_Недоспасова,Directed,cites,1
ART_5,AUT_Бим,Directed,cites,1
ART_5,AUT_Гальскова,Directed,cites,1
ART_6,AUT_Соловейчик,Directed,cites,1
ART_6,AUT_Кузьмин,Directed,cites,1
ART_6,AUT_Беляева,Directed,cites,1
ART_6,AUT_Колесников,Directed,cites,1
ART_6,AUT_Пикрвер,Directed,cites,1
ART_6,AUT_Форд,Directed,cites,1
ART_7,AUT_Козловцева,Directed,cites,1
ART_7,AUT_Титова,Directed,cites,1
ART_7,AUT_Ивахненко,Directed,cites,1
ART_7,AUT_Мушенко,Directed,cites,1
ART_7,AUT_Киреева,Directed,cites,1
ART_7,AUT_Штыхно,Directed,cites,1
ART_7,AUT_Константинова,Directed,cites,1
ART_7,AUT_Резаев,Directed,cites,1
ART_7,AUT_Трегубова,Directed,cites,1
ART_7,AUT_Дзюба,Directed,cites,1
ART_7,AUT_Ворожихин,Directed,cites,1
ART_7,AUT_Еремина,Directed,cites,1
ART_7,AUT_Сысоев,Directed,cites,1
ART_7,AUT_Петров,Directed,cites,1
ART_7,AUT_Пашковская,Directed,cites,1
