Id,Label,Type,Authors
ART_1,ИННОВАЦИОННЫЕ ПОДХОДЫ К АДАПТИВНОМУ ОБУЧЕНИЮ ЛЕКСИ,Article,
ART_2,Статья_2,Article,
ART_3,ЭФФЕКТИВНОСТЬ ИСПОЛЬЗОВАНИЯ РОЛЕВЫХ ИГР КАК МЕТОДА,Article,"Соколова Н.В., Белоглазов А.А., Гализина Е.Г., Денисова О.И."
ART_4,ИССЛЕДОВАНИЕ ПО ПРИМЕНЕНИЮ ТЕХНОЛОГИИ ИИ В ПРЕПОДА,Article,Фань С.
ART_5,СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ПРЕПОДАВАНИЯ РУССКОГО ЯЗЫКА,Article,"Пирнепесова Г.Н., Ковалёв Н.С."
ART_6,ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ В ОБУЧЕНИИ РУССКОМУ ЯЗЫКУ,Article,Крымова Л.Р.
ART_7,ПРАКТИКА СОЧЕТАНИЯ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА С ИДЕ,Article,Ли С.
ART_8,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В РАБОТЕ У,Article,Федосенко Е.
ART_9,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ ДЛЯ СОЗДАНИЯ ДИДАКТИЧЕСКИХ,Article,"Буторина Н., Будаева Л."
ART_10,ПРАКТИКА ИСПОЛЬЗОВАНИЯ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В,Article,"Исаева Л.Р., Шестакова Е.В."
ART_11,МЕТОДИЧЕСКИЕ УСЛОВИЯ ПРИМЕНЕНИЯ ИСКУССТВЕННОГО ИНТ,Article,Гнеушева А.Л.
ART_12,МЕТОДИЧЕСКИЕ ПРИЕМЫ В ОБУЧЕНИИ КИТАЙСКИХ СТУДЕНТОВ,Article,"Пашковская Н.Д., Киреева И.А., Лю Ч.Ю."
ART_13,ПРИМЕНЕНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА (ИИ) В ОБУЧЕН,Article,"Калашникова М.А., Темиргалеева М.М."
ART_14,ИСПОЛЬЗОВАНИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА В РАБОТЕ У,Article,Федосенко Е.
ART_15,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ ДЛЯ СОЗДАНИЯ ДИДАКТИЧЕСКИХ,Article,"Буторина Н., Будаева Л."
ART_16,ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ В ОБУЧЕНИИ РУССКОМУ ЯЗЫКУ,Article,Крымова Л.Р.
ART_17,ПОНЯТИЕ И СТРУКТУРА УСТНО-РЕЧЕВЫХ УМЕНИЙ ПРИ ИСПОЛ,Article,Крымова Л.Р.
ART_18,ИННОВАЦИОННЫЕ ПОДХОДЫ К АДАПТИВНОМУ ОБУЧЕНИЮ ЛЕКСИ,Article,Гапоненко К.Р.
ART_19,ПРИМЕНЕНИЕ ЧАТ-БОТОВ ПРИ ИЗУЧЕНИИ РУССКОГО ЯЗЫКА К,Article,Иванищева О.Н.
ART_20,ЭФФЕКТИВНОСТЬ ИСПОЛЬЗОВАНИЯ РОЛЕВЫХ ИГР КАК МЕТОДА,Article,"Соколова Н.В., Белоглазов А.А., Гализина Е.Г., Денисова О.И."
ART_21,ОСОБЕННОСТИ МЕТОДИЧЕСКОГО ОБЕСПЕЧЕНИЯ НА ЭТАПЕ ВНЕ,Article,Байчорова Х.С.
ART_22,ПРАКТИКА СОЧЕТАНИЯ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА С ИДЕ,Article,Ли С.
ART_23,"РЕПРЕЗЕНТАЦИЯ КОНЦЕПТА ""人工智能 / ИСКУССТВЕННЫЙ ИНТЕЛ",Article,"Арекеева Ю.Е., Бедненко Ю.И."
